title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,target
Dose (Grendel Remix),Ophelia,aggrotech,2021,2021‑02‑10,120,95,68,-10,9,62,280,0,4,16,
Destroy All Humans,Deadly Avenger,big beat,2019,2020‑01‑22,110,93,62,-10,54,55,227,27,6,0,
The Cult of 2112,Perturbator,cyberpunk,2016,2019‑12‑25,140,100,49,0,36,13,238,0,37,36,4
Upgraded Resistance,We Are Magonia,cyberpunk,2020,2020‑12‑03,125,67,37,-8,7,17,270,0,8,31,4
Slaughterhouse,We Are Magonia,cyberpunk,2019,2020‑12‑04,148,88,42,-8,9,18,251,0,15,27,4
Better the Devil You Know,Street Cleaner,cyberpunk,2019,2021‑03‑19,100,58,56,-10,13,4,250,0,4,26,4
Blood And Boobies,Nightstop,cyberpunk,2020,2020‑12‑03,150,75,47,-8,32,46,206,0,12,25,4
Electric Death Machine,Neoslave,cyberpunk,2019,2019‑08‑03,135,92,58,-4,69,10,200,1,5,23,4
The Kill Switch,Gregorio Franco,cyberpunk,2018,2020‑12‑20,130,91,39,-7,22,15,232,0,7,23,4
Satanic Worship,We Are Magonia,cyberpunk,2018,2020‑12‑21,135,77,56,-5,9,35,281,2,7,23,4
Terror,We Are Magonia,cyberpunk,2018,2020‑12‑04,120,83,59,-5,17,4,297,1,4,19,4
Eternal Nightmare,Gregorio Franco,cyberpunk,2018,2020‑12‑21,130,85,42,-7,13,19,207,0,5,16,4
Chainsaw Slasher,VHS Glitch,cyberpunk,2017,2019‑12‑30,135,93,66,-10,5,40,277,0,6,15,4
Ground Is the Limit,We Are Magonia,cyberpunk,2018,2021‑03‑19,115,85,60,-5,14,17,256,0,4,14,4
Electric Guillotine,We Are Magonia,cyberpunk,2017,2020‑11‑10,120,69,41,-6,46,14,234,0,4,14,4
God Killer,Dreddd,cyberpunk,2019,2019‑08‑03,147,74,47,-6,51,7,189,0,3,8,4
Run for Your Life,MEGAHAMMER,cyberpunk,2016,2020‑01‑22,75,84,35,-12,71,22,80,0,5,7,4
Diabolic,Dance With the Dead,dark clubbing,2016,2019‑08‑03,121,95,64,-5,39,33,260,0,18,54,1
Horror Show,Battlejuice,dark clubbing,2020,2020‑12‑04,120,84,47,-6,35,14,236,0,4,39,1
Maleficarum,Gost,dark clubbing,2016,2020‑12‑04,138,94,59,-2,34,7,216,0,7,37,1
Murder Music,Raydar,dark clubbing,2017,2021‑03‑05,117,71,66,-7,23,13,269,4,6,36,1
Neo Anima,DEADLIFE,dark clubbing,2021,2021‑04‑09,125,92,57,-5,11,15,317,0,9,34,1
Devil Doctor,STRNGR,dark clubbing,2020,2020‑12‑18,95,84,52,-8,12,12,220,0,4,33,1
Carnage,Masked,dark clubbing,2020,2020‑12‑04,130,93,46,-5,8,6,333,0,4,31,1
The Prowler,Gost,dark clubbing,2018,2019‑12‑26,133,98,52,-2,23,44,248,0,13,26,1
The Tower,Occams Laser,dark clubbing,2021,2021‑01‑30,155,98,44,-4,8,36,240,0,37,25,1
Bleed Out,Donbor,dark clubbing,2020,2020‑12‑03,140,98,50,-3,12,32,250,0,4,25,1
Chainsaw Revenge,Absolute Valentine,dark clubbing,2020,2021‑03‑15,120,88,50,-5,35,27,168,1,6,24,1
Corrupted,Battlejuice,dark clubbing,2019,2020‑01‑22,122,92,46,-6,39,61,235,0,4,24,1
The Maiden,Electric Dragon,dark clubbing,2018,2020‑12‑04,145,93,42,-5,10,21,192,0,10,22,1
Nightmare Fuel,Masked,dark clubbing,2018,2020‑12‑03,70,94,28,0,33,11,229,0,6,19,1
Demon's Lair,Battlejuice,dark clubbing,2020,2020‑12‑03,180,66,45,-5,10,16,223,0,3,18,1
Phantasmagorica,King Stephen,dark clubbing,2020,2020‑12‑03,150,80,32,-7,31,32,318,0,12,17,1
Lurker,Electric Dragon,dark clubbing,2018,2019‑12‑25,134,90,50,-6,12,14,282,0,4,17,1
The Rapture,Occams Laser,dark clubbing,2019,2020‑12‑03,100,88,49,-8,11,29,202,0,34,16,1
Wolf's Blood,Electric Dragon,dark clubbing,2016,2020‑12‑04,130,98,54,-5,13,11,277,0,5,16,1
The Disciple,Karl Casey,dark clubbing,2020,2020‑09‑24,160,94,56,-7,10,21,246,0,3,15,1
Successor,STRNGR,dark clubbing,2020,2021‑03‑19,128,93,49,-6,94,6,315,0,23,14,1
Victims,Fixions,dark clubbing,2020,2020‑11‑10,114,90,51,-5,11,14,309,0,6,13,1
Midnight Blood,Masked,dark clubbing,2020,2020‑09‑24,124,85,56,-5,8,19,244,0,3,11,1
The Slasher,Hubrid,dark clubbing,2017,2019‑12‑25,135,79,41,-5,10,13,203,1,23,11,1
Succubus - Hubrid Remix,Hubrid,dark clubbing,2020,2020‑12‑22,120,96,60,-4,23,34,130,0,7,8,1
Scary Stories to Tell in the Dark,King Stephen,dark clubbing,2019,2021‑04‑14,140,91,46,-6,7,30,356,0,10,3,1
Revenge of the Black Saucers,Hollywood Burns,darksynth,2018,2019‑08‑03,145,92,38,-4,12,19,344,0,5,35,2
Robotica Satanica,Vulta,darksynth,2017,2019‑08‑03,150,97,47,-2,9,8,252,0,11,23,2
Brute Blaster,Isidor,darksynth,2020,2021‑03‑19,150,86,51,-6,36,19,246,0,6,20,2
A Mark on Me,Funeral Director,darksynth,2020,2020‑11‑02,104,70,33,-7,8,4,292,0,4,19,2
